Date,AUD,EUR,NZD,GBP,BRL,CAD,CNY,DKK,HKD,INR,JPY,MYR,MXN,NOK,ZAR,SGD,KRW,LKR,SEK,CHF,TWD,THB,VEB,gdpGBP,gdpUSD,GBR_Value,USA_Value,liborGBP,liborUSD
2001-01-02,0.5592,0.9465,0.4432,1.4977,1.9380000000000002,1.4963,8.2779,7.8845,7.8,46.74,114.73,3.8,9.714,8.76,7.569,1.7369999999999999,1279.0,82.6,9.415,1.6075,33.0,43.79,0.7008,99.97764281514756,100.81527694707991,-1.815904030756699,-4.084297260226566,5.81094,6.65125
2001-01-03,0.5635,0.9473,0.4463,1.5045,1.946,1.4982,8.2773,7.875,7.8,46.75,114.26,3.8,9.836,8.76,7.5025,1.7325,1271.5,82.7,9.445,1.6025,33.078,43.7,0.7002,99.98086597817554,100.80719091285982,-1.8248594707757981,-4.076653803865071,6.0975,6.65375
2001-01-04,0.5655,0.9448,0.4457,1.493,1.9380000000000002,1.4985,8.2781,7.8991,7.7998,46.78,115.47,3.8,9.698,8.7628,7.542999999999999,1.7369999999999999,1265.0,82.75,9.422,1.6115,33.0,43.53,0.6994,99.98408914120351,100.79910487863974,-1.8338149107948971,-4.069010347503577,5.57125,6.09625
2001-01-05,0.5712,0.9535,0.4518,1.499,1.953,1.5003,8.2775,7.8260000000000005,7.7993,46.76,116.19,3.8,9.753,8.701,7.56,1.7322,1264.7,83.15,9.338,1.6025,32.927,43.26,0.6988,99.9873123042315,100.79101884441964,-1.8427703508139963,-4.0613668911420815,5.3781300000000005,6.01625
2001-01-08,0.5660000000000001,0.9486,0.4505,1.4969,1.954,1.4944,8.2778,7.8705,7.7998,46.73,115.97,3.8,9.691,8.7435,7.595,1.7275,1263.6,82.95,9.418,1.6076,32.85,42.95,0.6990000000000001,99.99053546725946,100.78293281019955,-1.8517257908330953,-4.053723434780587,5.5,6.015
2001-01-09,0.5628,0.9397,0.4475,1.49,1.9409999999999998,1.4973,8.2771,7.9375,7.8,46.68,116.64,3.8,9.746,8.775,7.72,1.7328,1253.3,82.9,9.498,1.621,32.63,43.13,0.6993,99.99375863028745,100.77484677597947,-1.8606812308521943,-4.046079978419092,5.34344,6.01125
2001-01-10,0.5572,0.9387,0.4447,1.4909999999999999,1.9409999999999998,1.4993,8.2769,7.9525,7.8,46.68,116.26,3.8,9.8145,8.725,7.978,1.7333,1270.0,83.0,9.4325,1.6255,32.65,43.2,0.6997,99.99698179331541,100.76676074175938,-1.8696366708712935,-4.038436522057598,5.5,6.015
2001-01-11,0.5595,0.9520000000000001,0.4495,1.4965,1.949,1.4978,8.2767,7.8385,7.8,46.68,117.56,3.8,9.845,8.594,7.845,1.7352,1279.2,83.42,9.325,1.6123,32.67,43.57,0.6998,100.00020495634338,100.7586747075393,-1.8785921108903925,-4.030793065696103,6.0,6.0375
2001-01-12,0.5557,0.9486,0.4452,1.4778,1.949,1.4967,8.2768,7.872000000000001,7.8001,47.47,117.76,3.8,9.8775,8.6645,7.825,1.7328,1279.2,85.0,9.344,1.6232,32.67,43.34,0.6995,100.00342811937136,100.75058867331921,-1.8875475509094917,-4.023149609334609,6.12188,6.025
2001-01-16,0.5549,0.9374,0.445,1.4675,1.954,1.5037,8.2766,7.965,7.7997,46.55,117.28,3.8,9.972000000000001,8.7675,7.825,1.7338,1283.8,84.99,9.505,1.639,32.645,43.09,0.6999,100.00987444542731,100.73441660487904,-1.9054584309476899,-4.007862696611619,6.09844,6.17625
2001-01-17,0.5514,0.9306,0.444,1.4723,1.954,1.5123,8.2764,8.015,7.8,46.48,118.35,3.8,9.88,8.7925,7.8575,1.734,1279.0,84.99,9.565,1.652,32.67,43.3,0.6995,100.01309760845528,100.72633057065894,-1.9144138709667888,-4.000219240250125,5.87625,6.05125
2001-01-18,0.5562,0.9446,0.4472,1.4755,1.953,1.5162,8.2764,7.9035,7.7997,46.45,117.78,3.8,9.885,8.701,7.8675,1.7393,1286.0,85.1,9.43,1.6195,32.67,43.25,0.6998,100.01632077148327,100.71824453643886,-1.9233693109858878,-3.99257578388863,6.28,6.02625
