Date,AUD,EUR,NZD,GBP,BRL,CAD,CNY,DKK,HKD,INR,JPY,MYR,MXN,NOK,ZAR,SGD,KRW,LKR,SEK,CHF,TWD,THB,VEB,gdpGBP,gdpUSD,GBR_Value,USA_Value,liborGBP,liborUSD
2019-08-26,0.6782,1.1112,0.6396,1.2232,4.1528,1.3282,7.1503,6.711,7.8457,72.02,106,4.2015,19.9175,8.9888,15.2525,1.3878,1217.51,179.5,9.6712,0.9782,31.41,30.58,16035.4135,99.8487118811864,99.9185769163609,-2.60049286244339,-2.05550327386402,0.677315,2.092065
2019-08-27,0.6758,1.1094,0.6366,1.2288,4.1813,1.3274,7.1603,6.7212,7.8469,71.52,105.8,4.202,20.0055,9.0225,15.3275,1.389,1211.38,179.65,9.6623,0.9815,31.39,30.57,16474.7193,99.8461060663297,99.9183884060679,-2.56538283965716,-2.05044138245523,0.67775,2.09575
2019-08-28,0.6746,1.1084,0.6337,1.2248,4.1553,1.3299,7.1628,6.7273,7.8439,71.75,105.86,4.2125,20.012,9.0337,15.3425,1.3881,1213.75,180.2,9.719,0.9807,31.43,30.61,17607.6048,99.843500251473,99.9181998957749,-2.53027281687093,-2.04537949104643,0.66625,2.08663
2019-08-29,0.6734,1.1059,0.6318,1.2197,4.1595,1.3299,7.1434,6.7422,7.8462,71.67,106.5,4.219,20.1185,9.091,15.2875,1.388,1216.14,180.25,9.7695,0.9853,31.34,30.61,18364.0734,99.8408944366163,99.9180113854819,-2.4951627940847,-2.04031759963764,0.66438,2.095
2019-08-30,0.673,1.0989,0.6299,1.2166,4.1254,1.329,7.1543,6.785,7.8403,71.45,106.3,4.2047,20.0674,9.1192,15.1925,1.3879,1211.32,179.2,9.8277,0.9899,31.32,30.61,20459.774,99.8382886217596,99.9178228751889,-2.46005277129847,-2.03525570822885,0.68038,2.08963
2019-09-03,0.6758,1.0968,0.6326,1.2086,4.1726,1.3332,7.1786,6.7988,7.8425,72.2,105.88,4.2189,19.992,9.1034,15.1275,1.3906,1212.44,180.2,9.8378,0.9872,31.38,30.6,23271.8172,99.82978793896,99.9176820904114,-2.35472270293978,-2.02007003400246,0.66988,2.09063
2019-09-04,0.6796,1.1025,0.6354,1.219,4.114,1.3248,7.144,6.7648,7.8386,72.11,106.28,4.204,19.779,9.0368,14.8025,1.3842,1207.84,180.45,9.7519,0.9817,31.3,30.56,23781.1892,99.8268405049886,99.9177059531691,-2.31961268015355,-2.01500814259367,0.66838,2.09125
2019-09-05,0.682,1.1038,0.6376,1.2337,4.0908,1.3238,7.1468,6.7584,7.8378,71.84,106.96,4.1855,19.6935,8.9955,14.8475,1.3841,1200.18,180.65,9.6796,0.9868,31.26,30.68,23616.4142,99.8238930710172,99.9177298159268,-2.28450265736732,-2.00994625118488,0.67013,2.09763
2019-09-06,0.6856,1.1042,0.6439,1.2299,4.0643,1.317,7.1131,6.7568,7.8389,71.68,106.8,4.177,19.5575,8.9668,14.7525,1.3797,1196.81,180.8,9.6179,0.9866,31.22,30.62,20907.5176,99.8209456370457,99.9177536786846,-2.24939263458109,-2.00488435977608,0.67325,2.09475
2019-09-09,0.6874,1.1056,0.6434,1.2368,4.0819,1.314,7.121,6.7456,7.8378,71.66,107.14,4.177,19.5365,8.9255,14.76,1.3788,1192.33,180.4,9.6489,0.991,31.21,30.63,20379.0349,99.8179982030743,99.9177775414423,-2.21428261179486,-1.99982246836729,0.66963,2.09388
2019-09-10,0.6868,1.1042,0.6425,1.2355,4.101,1.3141,7.1121,6.7562,7.84,71.89,107.34,4.17,19.5005,8.951,14.6625,1.379,1191.22,180.3,9.6885,0.9908,31.22,30.6,20455.0789,99.8150507691029,99.9178014042,-2.17917258900863,-1.9947605769585,0.67725,2.0925
2019-09-11,0.6858,1.1001,0.6415,1.2329,4.0592,1.3199,7.1153,6.7819,7.8396,71.62,107.73,4.178,19.55,8.9762,14.74,1.3798,1191.51,180.27,9.6871,0.9933,31.13,30.58,21128.9399,99.8121033351315,99.9178252669578,-2.1440625662224,-1.9896986855497,0.67763,2.0945
2019-09-12,0.6871,1.1074,0.6417,1.2357,4.0606,1.3209,7.0787,6.7398,7.8262,70.91,107.97,4.1645,19.421,8.9668,14.5925,1.3741,1180.7,180.3,9.6312,0.9891,31.03,30.4,21175.4074,99.80915590116,99.9178491297155,-2.10895254343617,-1.98463679414091,0.669,2.08825
2019-09-13,0.6886,1.1074,0.6384,1.2462,4.061,1.3268,7.0754,6.7431,7.8237,71,108.12,4.1649,19.3555,8.9765,14.53,1.3727,1176.62,179.74,9.6095,0.9898,30.88,30.47,21391.0349,99.8062084671886,99.9178729924732,-2.07384252064994,-1.97957490273211,0.6715,2.09475
2019-09-16,0.6865,1.1006,0.6352,1.2423,4.0831,1.324,7.0659,6.7844,7.8177,71.53,107.94,4.1649,19.428,8.9607,14.6225,1.3753,1182.96,180.35,9.6649,0.9919,30.9,30.51,21501.5249,99.8032610332172,99.917896855231,-2.03873249786371,-1.97451301132332,0.67613,2.11163
2019-09-17,0.6858,1.1063,0.635,1.2493,4.097,1.3249,7.0905,6.7489,7.822,71.47,108.12,4.18,19.417,8.9357,14.75,1.3745,1186.1,180.55,9.6711,0.9925,30.95,30.51,21501.5254,99.8003135992457,99.9179207179887,-2.00362247507748,-1.96945111991453,0.66125,2.15488
2019-09-18,0.6844,1.1061,0.6333,1.2478,4.0964,1.3283,7.0849,6.7506,7.8305,71.16,108.17,4.1845,19.348,8.9331,14.6275,1.3735,1191.51,180.65,9.6955,0.995,30.95,30.51,19839.5671,99.7973661652743,99.9179445807464,-1.96851245229125,-1.96438922850573,0.6605,2.18525
2019-09-19,0.6795,1.1046,0.6301,1.2481,4.1389,1.3258,7.0959,6.7597,7.8318,71.31,108,4.19,19.405,8.9781,14.7175,1.3787,1193.87,180.85,9.7018,0.9927,30.98,30.53,19790.0709,99.7944187313029,99.9179684435041,-1.93340242950502,-1.95932733709694,0.66963,1.96213
2019-09-20,0.677,1.1004,0.6258,1.2489,4.1698,1.3268,7.0909,6.7856,7.8382,71.05,107.95,4.1659,19.44,9.0461,14.9275,1.3763,1188.16,181.1,9.7313,0.993,30.93,30.49,19822.0563,99.7914712973314,99.9179923062619,-1.89829240671879,-1.95426544568815,0.66863,1.8685
2019-09-23,0.6772,1.0991,0.6285,1.2428,4.1771,1.3271,7.1168,6.794,7.8401,70.79,107.47,4.177,19.442,9.0552,14.865,1.3777,1195.48,181.4,9.7217,0.9894,30.98,30.46,19666.0254,99.78852386336,99.9180161690196,-1.86318238393256,-1.94920355427935,0.66963,1.8475
2019-09-24,0.6793,1.0999,0.6315,1.2475,4.1737,1.3253,7.1138,6.7866,7.8406,70.94,107.32,4.18,19.4485,9.0005,14.915,1.3764,1196.52,181.05,9.6905,0.9872,31.01,30.54,19720.7742,99.7855764293886,99.9180400317774,-1.82807236114633,-1.94414166287056,0.66938,1.842
2019-09-25,0.675,1.0949,0.6275,1.2363,4.1764,1.3279,7.1313,6.8181,7.8379,71,107.78,4.1901,19.56,9.0513,14.9975,1.3788,1200.17,181.44,9.7538,0.9909,31.04,30.61,19938.596,99.7826289954171,99.9180638945351,-1.7929623383601,-1.93907977146177,0.679,1.84075
2019-09-26,0.6754,1.0938,0.6303,1.2343,4.1517,1.3271,7.13,6.8257,7.837,70.93,107.67,4.193,19.6435,9.0813,14.9925,1.3816,1201.99,181.65,9.757,0.9928,31.02,30.64,20656.4001,99.7796815614457,99.9180877572928,-1.75785231557387,-1.93401788005297,0.67038,1.82988
2019-09-27,0.6764,1.0942,0.6296,1.2312,4.1576,1.325,7.1218,6.8235,7.8395,70.49,108.05,4.1842,19.681,9.0822,15.1375,1.3812,1200.03,181.8,9.8006,0.9919,31.05,30.63,20851.4159,99.7767341274743,99.9181116200506,-1.72274229278764,-1.92895598864418,0.66963,1.82713
2019-09-30,0.6746,1.0905,0.6262,1.2305,4.1629,1.3243,7.1477,6.8469,7.8401,70.64,108.11,4.188,19.742,9.0834,15.1575,1.383,1195.85,182,9.8307,0.9978,31.05,30.59,20975.5097,99.7737866935028,99.9181354828083,-1.68763227000141,-1.92389409723538,0.66025,1.8215
2019-10-01,0.6703,1.0932,0.6246,1.2242,4.1624,1.3235,7.1473,6.8288,7.8425,71.11,107.7,4.192,19.7755,9.1192,15.3525,1.3851,1198.96,182.2,9.8791,0.9936,31.07,30.61,20694.5259,99.7708392595314,99.918159345566,-1.65252224721518,-1.91883220582659,0.66538,1.82613
2019-10-02,0.6698,1.0951,0.6256,1.2313,4.1434,1.3313,7.1473,6.8179,7.8431,71.17,107.21,4.193,19.776,9.1412,15.2075,1.3844,1205.47,181.7,9.8791,0.9975,31.06,30.6,20374.5745,99.7679869152429,99.9184072939667,-1.68514038699089,-1.92107102650154,0.68075,1.85125
2019-10-03,0.6751,1.0991,0.6314,1.239,4.0876,1.3323,7.1473,6.7934,7.8433,71.03,106.76,4.1853,19.6985,9.1065,15.1375,1.38,1204.67,181.37,9.8375,0.9974,30.97,30.53,20203.9537,99.7651345709544,99.9186552423675,-1.7177585267666,-1.92330984717648,0.66288,1.82238
