Date,GBR_Value,USA_Value
Q4-1999,-1.73467078965231,-3.30061141215135
Q1-2000,-2.22483561512119,-3.78979725492427
Q2-2000,-2.54247217340363,-3.76249099918138
Q3-2000,-2.31800335290404,-4.04944851293505
Q4-2000,-1.97108639368211,-4.07237265932403
Q1-2001,-1.8069485907376,-4.09194071658806
Q2-2001,-2.38905219197904,-3.59511605309091
Q3-2001,-2.36146447842984,-3.90457267418212
Q4-2001,-1.7047364572395,-3.31184111807798
Q1-2002,-2.09979423868313,-3.80418783956032
Q2-2002,-3.01293530990917,-4.21066082743126
Q3-2002,-1.56318816981862,-4.17952937081533
Q4-2002,-1.56103981572886,-4.47908284569076
Q1-2003,-0.793619867773318,-4.84148666424584
Q2-2003,-2.18164769954016,-4.57305503684961
Q3-2003,-2.51593986767856,-4.49905189842492
Q4-2003,-1.55192303506519,-4.33297717998772
Q1-2004,-2.35091088149125,-4.59688113482284
Q2-2004,-2.5235731708797,-5.15679800465555
Q3-2004,-3.41335265875532,-5.25067176880424
Q4-2004,-1.02585047804453,-5.79092308398733
Q1-2005,-2.16459671326029,-5.35442328652554
Q2-2005,-0.580229102843381,-5.59695405631377
Q3-2005,-2.64985740101575,-5.72760613299695
Q4-2005,-2.38802479893321,-6.28766974920186
Q1-2006,-2.85681198421736,-5.8661270972152
Q2-2006,-2.39474700656624,-5.96235321429262
Q3-2006,-2.93649423116359,-6.30084696782088
Q4-2006,-2.95858779238281,-5.52091908744376
Q1-2007,-3.31766657450926,-5.63927303305491
Q2-2007,-2.81978432347832,-5.37697456252495
Q3-2007,-3.98165461461134,-4.8367654275682
Q4-2007,-3.14813549283583,-4.55386680149393
Q1-2008,-3.5027736105781,-4.97668458871756
Q2-2008,-4.13123634206357,-4.85805010006004
Q3-2008,-3.46217809806985,-4.80463104374754
Q4-2008,-4.63909904765789,-4.29214021346686
Q1-2009,-4.10581119402791,-2.76221266289241
Q2-2009,-4.16673160139428,-2.42708590976705
Q3-2009,-2.20770976455379,-2.53486887107574
Q4-2009,-2.86871118931127,-2.78517511015331
Q1-2010,-2.60499666838104,-2.79958020154402
Q2-2010,-2.6988568989233,-2.99437937497128
Q3-2010,-3.74881520124786,-3.09335920084971
Q4-2010,-3.61620844226768,-2.64082505147517
Q1-2011,-1.56891520375381,-3.12017118078262
Q2-2011,-0.557912265561376,-3.08295155666984
Q3-2011,-2.81922634173888,-2.74143222260348
Q4-2011,-2.08832624201333,-2.77963543730684
Q1-2012,-2.58124516609648,-2.8438881536163
Q2-2012,-3.96457978052502,-2.72375557174456
Q3-2012,-2.89288181488421,-2.43216046895302
Q4-2012,-4.27174815874908,-2.33224032746041
Q1-2013,-4.78760135181484,-2.17972791241498
Q2-2013,-3.71638163979616,-2.12750074738883
Q3-2013,-4.65464463368839,-2.01061823703459
Q4-2013,-5.85266495645568,-1.71811535551111
Q1-2014,-4.62751418397238,-2.10982396209665
Q2-2014,-4.35620264294396,-1.98592214299977
Q3-2014,-4.39224787021198,-2.00141555611871
Q4-2014,-5.50507909082785,-2.29419618427251
Q1-2015,-5.60026089092557,-2.20058445630184
Q2-2015,-3.31789737171464,-2.17998914263649
Q3-2015,-4.23786753780582,-2.3902645739116
Q4-2015,-6.46429464176888,-2.16236062816496
Q1-2016,-5.67145957400765,-2.2360395873213
Q2-2016,-5.10118153992094,-2.12216770536476
Q3-2016,-6.13427705802349,-2.1025261778387
Q4-2016,-3.96452328159645,-1.96935990811545
Q1-2017,-3.23940809180108,-1.74439055934432
Q2-2017,-3.99818440684804,-2.11275658395544
Q3-2017,-3.39347377691256,-1.75832663515976
Q4-2017,-3.33214577613848,-1.86141382647766
Q1-2018,-3.40926504335126,-1.90862511834797
Q2-2018,-3.49278066251564,-1.85696707865403
Q3-2018,-3.63248733973231,-2.41513132099387
Q4-2018,-4.90596742024344,-2.53377199734498
Q1-2019,-6.51603928523308,-2.39856305204911
Q2-2019,-3.89573442539775,-2.39459421167783
Q3-2019,-4.00489377389258,-2.25797893021577
Q4-2019,-1.65252224721518,-1.91883220582659
Q1-2020,-3.83793761218789,-2.06883319104802
