Date,AUD,EUR,NZD,GBP,BRL,CAD,CNY,DKK,HKD,INR,JPY,MYR,MXN,NOK,ZAR,SGD,KRW,LKR,SEK,CHF,TWD,THB,VEB
2000-01-03,0.6591,1.0155,0.5254,1.627,1.805,1.4465,8.2798,7.329,7.7765,43.55,101.7,3.8,9.4015,7.964,6.126,1.6563,1128,72.3,8.443,1.5808,31.38,36.97,0.6498
2000-01-04,0.6562,1.0309,0.5198,1.637,1.8405,1.4518,8.2799,7.218,7.7775,43.55,103.09,3.8,9.457,7.934,6.085,1.6535,1122.5,72.65,8.36,1.5565,30.6,37.13,0.6503
2000-01-05,0.655,1.0335,0.5171,1.6415,1.856,1.4518,8.2798,7.208,7.778,43.55,103.77,3.8,9.535,7.935,6.07,1.656,1135,72.95,8.353,1.5526,30.8,37.1,0.6515
2000-01-06,0.654,1.0324,0.5145,1.6475,1.84,1.4571,8.2797,7.2125,7.7785,43.55,105.19,3.8,9.567,7.94,6.08,1.6655,1146.5,72.95,8.3675,1.554,31.75,37.62,0.6503
2000-01-07,0.6548,1.0294,0.516,1.6384,1.831,1.4505,8.2794,7.2285,7.7783,43.55,105.17,3.8,9.52,7.966,6.057,1.6625,1138,73.15,8.415,1.5623,30.85,37.3,0.6508
2000-01-10,0.6561,1.0252,0.5168,1.6374,1.819,1.4568,8.2794,7.254,7.7785,43.55,105.28,3.8,9.445,8.024,6.0765,1.6618,1133.5,73.3,8.449,1.5704,30.83,37.27,0.6518
2000-01-11,0.6575,1.0322,0.5164,1.648,1.8225,1.457,8.2795,7.214,7.7785,43.6,106.09,3.8,9.4825,7.969,6.09,1.669,1147,73.35,8.397,1.5605,30.83,37.61,0.652
2000-01-12,0.6578,1.0281,0.5185,1.6465,1.835,1.455,8.2796,7.236,7.7787,43.6,105.76,3.8,9.515,7.977,6.0685,1.669,1144.5,73.35,8.418,1.566,30.8,37.54,0.6526
2000-01-13,0.6687,1.027,0.524,1.6482,1.814,1.4495,8.2798,7.252,7.7788,43.55,106.09,3.8,9.51,7.9425,6.057,1.67,1135.5,73.35,8.417,1.5707,30.8,37.49,0.6533
2000-01-14,0.6665,1.0128,0.5212,1.6353,1.805,1.4497,8.2797,7.347,7.7789,43.55,105.86,3.8,9.455,7.997,6.075,1.6752,1125,73.35,8.474,1.5945,30.83,37.55,0.6513
2000-01-17,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000-01-18,0.664,1.0121,0.517,1.638,1.7942,1.4502,8.2793,7.356,7.779,43.6,105.49,3.8,9.441,8.01,6.089,1.6735,1127,72.85,8.468,1.5942,30.89,37.4,0.6534
2000-01-19,0.6634,1.0115,0.5155,1.6438,1.793,1.4527,8.2797,7.3655,7.7798,43.6,105.39,3.8,9.418,8,6.114,1.6753,1134,73.2,8.487,1.5965,30.85,37.4,0.6525
2000-01-20,0.6666,1.0133,0.5132,1.6538,1.7785,1.4484,8.2794,7.343,7.7795,43.6,105.45,3.8,9.408,7.977,6.1,1.6765,1126,72.95,8.468,1.5915,30.85,37.28,0.6535
2000-01-21,0.6621,1.01,0.5104,1.6504,1.78,1.442,8.2795,7.3725,7.7792,43.6,104.96,3.8,9.447,7.999,6.128,1.681,1128,73.3,8.493,1.5973,30.85,37.23,0.6535
2000-01-24,0.6544,1.0019,0.5061,1.652,1.768,1.44,8.2789,7.428,7.7795,43.62,105.52,3.8,9.485,8.026,6.1675,1.6825,1124.5,72.95,8.526,1.609,30.85,37.3,0.654
2000-01-25,0.6542,1.0041,0.5068,1.6482,1.78,1.4389,8.2786,7.412,7.78,43.59,105.87,3.8,9.525,8.036,6.1617,1.6867,1127,73.45,8.521,1.6085,30.85,37.27,0.6551
2000-01-26,0.6505,1.0011,0.506,1.6395,1.781,1.4379,8.2782,7.433,7.7805,43.65,105.85,3.8,9.5175,8.0675,6.175,1.695,1127.8,73.4,8.5285,1.6102,30.85,37.48,0.655
2000-01-27,0.655,0.989,0.5072,1.6363,1.78,1.435,8.2783,7.525,7.7805,43.63,104.91,3.8,9.52,8.1475,6.227,1.693,1125,73.45,8.615,1.6317,30.83,37.46,0.655
2000-01-28,0.6265,0.9765,0.487,1.621,1.79,1.4495,8.2781,7.6165,7.78,43.65,107.15,3.8,9.581,8.27,6.3575,1.71,1121,73.05,8.82,1.6485,30.75,37.65,0.655
2000-01-31,0.6382,0.9757,0.4953,1.6182,1.802,1.4517,8.2777,7.633,7.781,43.65,107.33,3.8,9.64,8.301,6.3125,1.701,1124,73.5,8.815,1.6495,30.75,37.55,0.6558
2000-02-01,0.6315,0.9731,0.4904,1.615,1.795,1.4468,8.2774,7.6445,7.7807,43.62,107.67,3.8,9.597,8.277,6.28,1.699,1127,73.55,8.768,1.654,31.75,37.51,0.6563
2000-02-02,0.636,0.9768,0.4898,1.606,1.785,1.4435,8.2773,7.6215,7.7805,43.65,108.4,3.8,9.575,8.225,6.2825,1.6985,1131,73.25,8.708,1.6502,30.8,37.65,0.6571
2000-02-03,0.6387,0.9887,0.4967,1.6025,1.775,1.4417,8.2781,7.52,7.7812,43.65,107.92,3.8,9.51,8.158,6.2575,1.6925,1130.5,73.55,8.577,1.6255,30.8,37.59,0.657
2000-02-04,0.6315,0.976,0.493,1.5915,1.773,1.4467,8.2788,7.626,7.781,43.65,107.54,3.8,9.481,8.27,6.286,1.693,1130,73.55,8.663,1.647,30.8,37.55,0.6573
2000-02-07,0.6339,0.9783,0.4936,1.5917,1.77,1.4457,8.2788,7.609,7.782,43.64,108.75,3.8,9.436,8.259,6.2905,1.6958,1129.6,73.5,8.66,1.6426,30.8,37.75,0.6573
2000-02-08,0.6353,0.9862,0.494,1.6105,1.765,1.4473,8.2788,7.5455,7.7809,43.63,109.59,3.8,9.402,8.1835,6.299,1.6968,1129.5,73.6,8.595,1.6301,30.75,37.64,0.6578
2000-02-09,0.6345,0.9914,0.492,1.6115,1.77,1.4443,8.2788,7.504,7.781,43.65,109.11,3.8,9.399,8.145,6.32,1.6918,1124,73.6,8.544,1.6232,30.65,37.55,0.6585
